10 0.01
510 0.64
1010 1.51
1510 2.25
2010 3.40
2510 3.99
3010 4.71
3510 6.01
4010 7.56
4510 7.28
5010 9.51
5510 9.15
6010 9.99
6510 10.87
7010 11.35
7510 12.72
8010 13.45
8510 15.67
9010 15.93
9510 17.94
10010 17.14
10510 18.58
11010 20.13
11510 22.12
12010 22.20
12510 21.90
13010 24.16
13510 25.06
14010 27.26
14510 26.74
15010 28.21
15510 29.20
16010 29.16
16510 29.88
17010 31.17
17510 33.03
18010 34.05
18510 35.62
19010 35.98
19510 40.77
20010 36.47
20510 44.22
21010 43.02
21510 42.27
22010 43.78
22510 46.72
23010 47.04
23510 46.78
24010 48.10
24510 50.44
25010 51.61
25510 52.42
26010 54.48
26510 55.35
27010 52.96
27510 56.82
28010 56.81
28510 58.53
29010 57.83
29510 59.19
30010 66.40
30510 61.54
31010 62.67
31510 65.22
32010 64.60
32510 66.97
33010 68.30
33510 69.67
34010 73.91
34510 69.59
35010 71.22
35510 79.08
36010 74.36
36510 76.69
37010 77.29
37510 77.26
38010 82.62
38510 82.10
39010 87.51
39510 81.87
40010 82.70
40510 87.21
41010 90.67
41510 87.51
42010 84.16
42510 93.52
43010 95.33
43510 92.88
44010 95.74
44510 96.38
45010 93.57
45510 97.83
46010 95.10
46510 103.33
47010 103.66
47510 110.11
48010 106.70
48510 115.98
49010 117.37
49510 114.23
