10 0.42
510 0.46
1010 0.21
1510 0.24
2010 0.33
2510 0.43
3010 0.53
3510 0.66
4010 0.72
4510 0.68
5010 0.41
5510 0.45
6010 0.47
6510 0.53
7010 0.56
7510 0.68
8010 0.61
8510 0.67
9010 0.72
9510 0.77
10010 0.77
10510 0.84
11010 1.00
11510 0.99
12010 0.98
12510 0.97
13010 0.98
13510 1.11
14010 1.06
14510 1.13
15010 1.14
15510 1.17
16010 1.21
16510 1.21
17010 1.31
17510 1.34
18010 1.36
18510 1.47
19010 1.60
19510 1.56
20010 1.78
20510 1.63
21010 1.83
21510 1.80
22010 1.82
22510 1.83
23010 1.80
23510 1.80
24010 2.04
24510 1.96
25010 1.93
25510 2.00
26010 2.08
26510 2.10
27010 2.27
27510 2.28
28010 2.21
28510 2.25
29010 2.30
29510 2.34
30010 2.43
30510 2.75
31010 2.52
31510 2.49
32010 2.80
32510 2.53
33010 2.67
33510 2.73
34010 2.73
34510 2.79
35010 2.84
35510 2.87
36010 2.99
36510 2.99
37010 2.97
37510 3.05
38010 3.05
38510 3.18
39010 3.15
39510 3.23
40010 3.30
40510 3.30
41010 3.30
41510 3.45
42010 3.45
42510 3.53
43010 3.62
43510 3.57
44010 3.59
44510 3.61
45010 3.77
45510 3.67
46010 3.97
46510 3.75
47010 3.87
47510 3.96
48010 4.03
48510 3.95
49010 3.96
49510 3.98
