10 0.005000
510 0.096000
1010 0.204000
1510 0.312000
2010 0.427000
2510 0.565000
3010 0.677000
3510 0.275000
4010 0.255000
4510 0.278000
5010 0.304000
5510 0.343000
6010 0.396000
6510 0.445000
7010 0.480000
7510 0.526000
8010 0.556000
8510 0.667000
9010 0.636000
9510 0.710000
10010 0.716000
10510 0.748000
11010 0.787000
11510 0.855000
12010 0.860000
12510 0.911000
13010 0.946000
13510 0.985000
14010 1.025000
14510 1.062000
15010 1.106000
15510 1.175000
16010 1.201000
16510 1.219000
17010 1.283000
17510 1.306000
18010 1.383000
18510 1.318000
19010 1.321000
19510 1.353000
20010 1.397000
20510 1.401000
21010 1.517000
21510 1.537000
22010 1.511000
22510 1.538000
23010 1.579000
23510 1.639000
24010 1.677000
24510 1.768000
25010 2.176000
25510 1.878000
26010 1.844000
26510 1.909000
27010 1.876000
27510 1.996000
28010 1.997000
28510 1.976000
29010 2.082000
29510 2.058000
30010 2.123000
30510 2.182000
31010 2.234000
31510 2.267000
32010 2.243000
32510 2.278000
33010 2.328000
33510 2.364000
34010 2.432000
34510 2.508000
35010 2.477000
35510 2.553000
36010 2.616000
36510 2.598000
37010 2.625000
37510 2.679000
38010 2.712000
38510 2.784000
39010 2.803000
39510 2.843000
40010 2.894000
40510 2.934000
41010 2.951000
41510 3.007000
42010 3.013000
42510 3.076000
43010 3.107000
43510 3.160000
44010 3.231000
44510 3.249000
45010 3.277000
45510 3.324000
46010 3.375000
46510 3.442000
47010 3.412000
47510 3.461000
48010 3.488000
48510 3.525000
49010 3.554000
49510 3.602000
